@relation whatever

@attribute 'Driver State' { 8 , 6 , 9 , 1 , 7 , 3 , 5 , 2 , 4 } 
@attribute 'Speed (GPS)' numeric
@attribute 'Engine Load' numeric
@attribute 'Throttle Position(Manifold)' numeric
@attribute 'Engine RPM' numeric
@attribute 'Speed (OBD)' numeric
@attribute 'Torque' numeric
@attribute 'GPS Bearing' numeric
@attribute 'Air Fuel Ratio(Measured)' numeric
@attribute 'Engine Load(Absolute)' numeric
@attribute 'Relative Throttle Position' numeric
@attribute 'Absolute Throttle Position B' numeric
@attribute 'Accelerator PedalPosition D' numeric
@attribute 'Accelerator PedalPosition E' numeric
@attribute 'Air Fuel Ratio(Commanded)' numeric
@attribute 'Engine kW (At the wheels)' numeric


@data
8 , 3.6029 , 41.569 , 12.157 , 1077 , 0 , 0 , 252 , 0 , 22.353 , 3.5294 , 11.765 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 47.843 , 13.333 , 1003.2 , 0 , 0 , 252 , 0 , 27.843 , 3.5294 , 12.549 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 56.078 , 13.333 , 1024.5 , 0 , 0 , 252 , 0 , 33.725 , 4.7059 , 12.549 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 56.078 , 13.333 , 1010.2 , 0 , 0 , 252 , 0 , 32.941 , 4.7059 , 13.333 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 53.725 , 12.941 , 1010.2 , 0 , 0 , 252 , 0 , 31.765 , 4.3137 , 13.333 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 50.588 , 12.941 , 1014 , 0 , 0 , 252 , 0 , 31.765 , 3.9216 , 12.941 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 48.235 , 12.549 , 1003.8 , 0 , 0 , 252 , 0 , 30.196 , 3.5294 , 12.549 , 15.294 , 7.8431 , 14.7 , 0 
8 , 3.6029 , 36.863 , 10.588 , 816 , 0 , 0 , 252 , 14.903 , 20.392 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.848 , 0 
8 , 3.6029 , 37.255 , 10.588 , 798.75 , 0 , 0 , 252 , 14.903 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.848 , 0 
8 , 3.6029 , 37.255 , 10.588 , 814.25 , 0 , 0 , 252 , 14.857 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.554 , 0 
8 , 3.6029 , 37.255 , 10.588 , 814.25 , 0 , 0 , 252 , 14.578 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.554 , 0 
8 , 3.6029 , 37.255 , 10.588 , 800 , 0 , 0 , 252 , 14.578 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.848 , 0 
8 , 3.6029 , 37.255 , 10.588 , 796 , 0 , 0 , 252 , 14.857 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.848 , 0 
8 , 3.6029 , 38.039 , 10.588 , 801.75 , 0 , 0 , 252 , 14.915 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.554 , 0 
8 , 3.6029 , 37.255 , 10.588 , 798 , 0 , 0 , 252 , 14.645 , 20 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.554 , 0 
8 , 3.6029 , 37.255 , 12.157 , 871.75 , 0 , 0 , 252 , 14.645 , 23.137 , 1.5686 , 10.588 , 15.294 , 7.8431 , 14.554 , 0 
8 , 3.6029 , 37.255 , 12.157 , 884.25 , 0 , 0 , 252 , 14.659 , 29.02 , 3.1372 , 12.157 , 15.294 , 7.8431 , 14.848 , 0 
8 , 3.6029 , 49.02 , 10.588 , 884.25 , 0 , 0 , 252 , 14.773 , 29.02 , 2.7451 , 11.765 , 15.294 , 7.8431 , 14.848 , 0 
